Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1952 Winter Olympics,Female,"Virginia Day ""Ginny""•Baxter (-McKendrick, -Newman)",Ginny•Baxter,"3 December 1932 in Detroit, Michigan (USA)",18 December 2014,United States,80607,,"Detroit Skating Club, Bloomfield Hills (USA)",,,,,,
1976 Winter Olympics,Female,Alice Maxine•Cook,Alice•Cook,"30 November 1955 in Lansing, Michigan (USA)",,United States,80875,157 cm / 48 kg,,,,,,,
1964 Winter Olympics,Female,Barbara Hale•Ferries (-Henderson),Barbara•Ferries,"5 September 1944 in Houghton, Michigan (USA)",,United States,81056,166 cm / 55 kg,University of Colorado Racing Club,,,,,,
1984 Winter Olympics,Female,Carol Jean•Fox,Carol•Fox,"11 July 1956 in Ypsilanti, Michigan (USA)",,United States,81081,162 cm / 51 kg,"Skating Club of Wilmington, Wilmington (USA)",,,,,,
1994 Winter Olympics,Female,Jennifer•Goolsbee,Jennifer•Goolsbee,"6 September 1968 in Detroit, Michigan (USA)",,Germany,81170,152 cm / 48 kg,Essener Roll- und Schlittschuh-Club 1934,,,,,,
1960 Winter Olympics; 1968 Winter Olympics; 1972 Winter Olympics,Female,Jeanne Marie•Omelenchuk (Robinson-),Jeanne•Omelenchuk,"25 March 1931 in Detroit, Michigan (USA)","26 June 2008 in Lapeer, Michigan (USA)",United States,81987,163 cm / 52 kg,Detroit Speed Skating Club,,,,,,
1984 Winter Olympics,Female,"Constance Anne ""Connie""•Paraskevin-Young",Connie•Paraskevin-Young,"4 July 1961 in Detroit, Michigan (USA)",,United States,82028,160 cm / 55 kg,,,,,,,
1956 Winter Olympics; 1960 Winter Olympics,Female,Betsy Baxter•Snite (-Riley),Betsy•Snite,"20 December 1938 in Grand Rapids, Michigan (USA)","15 June 1984 in Burlington, Vermont (USA)",United States,82415,,Carcajou Ski Club,,,,,,
1972 Winter Olympics; 1976 Winter Olympics,Female,Sheila Grace•Young (-Ochowicz),Sheila•Young,"14 October 1950 in Birmingham, Michigan (USA)",,United States,83093,163 cm / 59 kg,Wolverine Skating Club,,,,,,
1924 Winter Olympics,Male,Clarence John•Abel,Clarence•Abel,"28 May 1900 in Sault Sainte Marie, Michigan (USA)","1 August 1964 in Sault Sainte Marie, Michigan (USA)",United States,83142,185 cm / 102 kg,"Michigan Soo Wildcats, (USA) / St. Paul Athletic Club, Saint Paul (USA)",Taffy,,,,,
1976 Winter Olympics; 1980 Winter Olympics,Male,Cary Glen•Adgate,Cary•Adgate,"21 August 1953 in Lansing, Michigan (USA)",,United States,83481,173 cm / 74 kg,,,,,,,
1980 Winter Olympics,Male,"William Robert ""Bill""•Baker",Bill•Baker,"29 November 1956 in Grand Rapids, Michigan (USA)",,United States,83804,185 cm / 89 kg,"Minnesota Golden Gophers, Saint Paul (USA)",,,,,,
1988 Winter Olympics,Male,Judd Charles•Bankert,Judd•Bankert,"9 September 1949 in Grand Rapids, Michigan (USA)",,Guam,83832,,,,,,,,
1994 Winter Olympics,Male,Mark David•Beaufait,Mark•Beaufait,"13 May 1970 in Livonia, Michigan (USA)",,United States,83930,175 cm / 75 kg,"Kansas City Blades, Kansas City (USA)",,,,,,
1936 Winter Olympics; 1948 Winter Olympics,Male,Walter Isaac•Bietila,Walter•Bietila,"12 February 1916 in Ishpeming, Michigan (USA)","21 March 1996 in Iron Mountain, Michigan (USA)",United States,84119,,Ishpeming Ski Club,,,,,,
1984 Winter Olympics,Male,"Joseph Gerard ""Joe""•Briski",Joe•Briski,"2 October 1955 in Detroit, Michigan (USA)",,United States,84367,185 cm / 86 kg,,,,,,,
1952 Winter Olympics,Male,John Homer•Caldwell,John•Caldwell,"28 November 1928 in Detroit, Michigan (USA)",,United States,84555,,"US Navy, (USA)",,,,,,
1964 Winter Olympics,Male,Paul Francis•Coppo,Paul•Coppo,"2 November 1938 in Hancock, Michigan (USA)","2 June 2022 in Green Bay, Wisconsin (USA)",United States,84860,180 cm / 80 kg,"Michigan Tech Huskies, Houghton (USA) / Green Bay Bobcats, Green Bay (USA)",Racket,,,,,
1994 Winter Olympics,Male,John K.•Coyle,John•Coyle,"18 August 1968 in West Bloomfield Township, Michigan (USA)",,United States,84887,183 cm / 77 kg,"Wolverine Sports Club, Royal Oak, MI",,,,,,
1994 Winter Olympics,Male,Mike•Crocenzi,Mike•Crocenzi,"16 July 1969 in Warren, Michigan (USA)",,San Marino,84913,185 cm / 103 kg,,,,,,,
1984 Winter Olympics,Male,Richard John•Dalley,Richard•Dalley,"2 August 1957 in Detroit, Michigan (USA)",,United States,84992,175 cm / 64 kg,"Skating Club of Wilmington, Wilmington (USA)",,,,,,
1976 Winter Olympics,Male,"Robert Andrew ""Bob""•Dobek",Bob•Dobek,"4 October 1952 in Detroit, Michigan (USA)",,United States,85234,182 cm / 83 kg,"Bowling Green Falcons, Bowling Green (USA)",,,,,,
1994 Winter Olympics; 1998 Winter Olympics,Male,Jason A.•Dungjen,Jason•Dungjen,"28 September 1967 in Detroit, Michigan (USA)",,United States,85333,183 cm / 77 kg,"Skating Club of New York, New York (USA)",,,,,,
1960 Winter Olympics; 1964 Winter Olympics,Male,"Charles Thompson ""Chuck""•Ferries",Chuck•Ferries,"10 June 1939 in Houghton, Michigan (USA)",,United States,85693,175 cm / 83 kg,"Denver Pioneers, Denver (USA)",,,,,,
1994 Winter Olympics; 1998 Winter Olympics; 2002 Winter Olympics; 2006 Winter Olympics; 2010 Winter Olympics,Male,Mark R.•Grimmette,Mark•Grimmette,"23 January 1971 in Ann Arbor, Michigan (USA)",,United States,86232,185 cm / 90 kg,"Plattsburgh State Cardinals, Plattsburgh (USA)",,,,,,
1932 Winter Olympics,Male,Lloyd William•Guenther,Lloyd•Guenther,"14 December 1906 in Detroit, Michigan (USA)","18 October 1995 in Hendersonville, North Carolina (USA)",United States,86286,,Amateur Skating Union,,,,,,
