Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1992 Winter Olympics,Female,Patrice Marie•Anderson (-Jankowski),Patrice•Anderson,"22 November 1959 in Duluth, Minnesota (USA)",,United States,80533,173 cm / 68 kg,,,,,,,
1932 Winter Olympics,Female,Margaret Helen•Bennett (-Anthony),Margaret•Bennett,"17 September 1910 in Minneapolis, Minnesota (USA)","7 June 1984 in Chester, Connecticut (USA)",United States,80633,,,,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Female,Peggy Ann•Clasen,Peggy•Clasen,"7 April 1969 in Saint Paul, Minnesota (USA)",,United States,80851,178 cm / 72 kg,"Midway SC, Saint Paul (USA)",,,,,,
1984 Winter Olympics; 1988 Winter Olympics,Female,"Kathryn Helen ""Katie""•Class (-Marquard)",Katie•Class,"24 March 1963 in Saint Paul, Minnesota (USA)",,United States,80852,165 cm / 62 kg,"Midway SC, Saint Paul (USA)",,,,,,
1952 Winter Olympics,Female,"Janet Jean•Gerhauser (-Griffiths, -Allen, -Carpenter)",Janet•Gerhauser,"9 August 1932 in Minneapolis, Minnesota (USA)",,United States,81137,,,,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Female,Michelle Lynn•Kline,Michelle•Kline,"8 November 1968 in Golden Valley, Minnesota (USA)",,United States,81518,173 cm / 65 kg,"Midway SC, Saint Paul (USA)",,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Female,Tara Elizabeth•Laszlo (-Navarro),Tara•Laszlo,"30 October 1971 in Saint Paul, Minnesota (USA)",,United States,81628,157 cm / 58 kg,"Midway SC, Saint Paul (USA)","T, Tara Beth, Pebbles",,,,,
1964 Winter Olympics,Female,"Janice Marie ""Mary""•Lawler",Mary•Lawler,"25 November 1944 in Minneapolis, Minnesota (USA)",,United States,81633,162 cm / 59 kg,"Falldin Club, Minneapolis",,,,,,
1992 Winter Olympics,Female,Rachel Lynn•Mayer (-Godino),Rachel•Mayer,"12 December 1973 in Minneapolis, Minnesota (USA)",,United States,81787,,"Skating Club of Boston, Boston (USA)",,,,,,
1968 Winter Olympics,Female,"Mary Margret•Meyers (-Berger, -Rothstein)",Mary•Meyers,"10 February 1946 in Saint Paul, Minnesota (USA)",,United States,81822,163 cm / 59 kg,"Midway SC, Saint Paul (USA)",,,,,,
