Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1992 Winter Olympics; 1994 Winter Olympics,Female,Eva M.•Twardokens,Eva•Twardokens,"28 April 1965 in Reno, Nevada (USA)",,United States,82902,165 cm / 61 kg,,,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Male,"Michael Rex ""Mike""•McMillen",Mike•McMillen,"12 April 1964 in Las Vegas, Nevada (USA)",,New Zealand,95329,187 cm / 80 kg,,,,,,,
1952 Winter Olympics,Male,"Darrell Donald ""Don""•Robison",Don•Robison,"30 August 1931 in Reno, Nevada (USA)","14 January 2002 in Salt Lake City, Utah (USA)",United States,96900,,"US Air Force, (USA)",Pinky,,,,,
2002 Winter Olympics; 2006 Winter Olympics; 2010 Winter Olympics; 2014 Winter Olympics,Female,Julia Marie•Mancuso (-Fish),Julia•Mancuso,"9 March 1984 in Reno, Nevada (USA)",,United States,101440,168 cm / 64 kg,"Squaw Valley Ski Team, Olympic Valley, California (USA)",Super Jules,,,,,
2002 Winter Olympics,Female,"Elisabeth ""Lisa""•Odynski (-Anderson)",Lisa•Odynski,"29 December 1974 in Reno, Nevada (USA)",,United States,101491,162 cm / 66 kg,,,,,,,
2002 Winter Olympics; 2006 Winter Olympics; 2010 Winter Olympics,Female,Shannon Deanne•Bahrke,Shannon•Bahrke,"7 November 1980 in Reno, Nevada (USA)",,United States,101983,162 cm / 55 kg,"Squaw Valley Ski Team, Olympic Valley, California (USA) / Utah Utes, Salt Lake City (USA)",,,,,,
2010 Winter Olympics,Male,Scotty•Bahrke,Scotty•Bahrke,"19 July 1985 in Reno, Nevada (USA)",,United States,118967,173 cm / 66 kg,,,,,,,
2014 Winter Olympics; 2018 Winter Olympics; 2022 Winter Olympics,Male,David•Wise,David•Wise,"30 June 1990 in Reno, Nevada (USA)",,United States,128715,183 cm / 84 kg,,,,,,,
2018 Winter Olympics,Male,Evan•Weinstock,Evan•Weinstock,"30 October 1991 in Las Vegas, Nevada (USA)",,United States,138266,193 cm / 98 kg,Brown University,,,,,,
2022 Winter Olympics,Female,Diana Sergeyevna•Davis,Diana•Davis,"16 January 2003 in Las Vegas, Nevada (USA)",,ROC,148805,,,,,,,Диана Сергеевна•Дэвис,
