Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1972 Winter Olympics,Female,Barbara Ann•Cochran (-Williams),Barbara•Cochran,"4 January 1951 in Claremont, New Hampshire (USA)",,United States,80863,154 cm / 50 kg,Madonna Mountain Ski Club,,,,,,
1976 Winter Olympics; 1980 Winter Olympics,Female,"Abigail E. ""Abbi""•Fisher (-Gould)",Abbi•Fisher,"30 August 1957 in Conway, New Hampshire (USA)",,United States,81066,167 cm / 55 kg,,,,,,,
1992 Winter Olympics; 1994 Winter Olympics; 1998 Winter Olympics,Female,"Elizabeth Geary ""Liz""•McIntyre",Liz•McIntyre,"5 April 1965 in Hanover, New Hampshire (USA)",,United States,81794,173 cm / 61 kg,"Winter Park Freestyle Team, Winter Park, Colorado (USA)",,,,,,
1980 Winter Olympics,Female,Heidi E.•Preuss,Heidi•Preuss,"18 March 1961 in Laconia, New Hampshire (USA)",,United States,82125,162 cm / 55 kg,,,,,,,
1924 Winter Olympics,Male,John Porter•Carleton,John•Carleton,"13 September 1899 in Hanover, New Hampshire (USA)","21 January 1977 in Manchester, New Hampshire (USA)",United States,84605,,,,,,,,
1936 Winter Olympics,Male,Warren Houston•Chivers,Warren•Chivers,"12 December 1914 in Hanover, New Hampshire (USA)","18 August 2006 in Springfield, Vermont (USA)",United States,84737,,Dartmouth Outing Club,,,,,,
1972 Winter Olympics,Male,"Robert Bruce ""Bob""•Cochran",Bob•Cochran,"11 December 1951 in Claremont, New Hampshire (USA)",,United States,84817,175 cm / 69 kg,"Vermont Catamounts, Burlington (USA)",,,,,,
1948 Winter Olympics,Male,Bruce Fergusson•Cunliffe,Bruce•Cunliffe,"19 August 1925 in Keene, New Hampshire (USA)","6 April 1989 in Portsmouth, New Hampshire (USA)",United States,84936,,"Dartmouth Big Green, Hanover (USA)",Knobby,,,,,
1972 Winter Olympics,Male,David Henry•Currier,David•Currier,"20 April 1952 in Madison, New Hampshire (USA)",,United States,84943,178 cm / 69 kg,"Eastern Slope Ski Club, North Conway (USA)",,,,,,
1976 Winter Olympics,Male,Peter George•Dascoulias,Peter•Dascoulias,"17 April 1949 in Franklin, New Hampshire (USA)",,United States,85018,,,,,,,,
1952 Winter Olympics; 1956 Winter Olympics,Male,"Joseph Brooks•Dodge, Jr.","Brooks•Dodge, Jr.","30 December 1929 in Conway, New Hampshire (USA)","17 January 2018 in Jackson, New Hampshire (USA)",United States,85238,186 cm / 76 kg,"Eastern Slope Ski Club, North Conway (USA)",Brookie,,,,,
1960 Winter Olympics,Male,"Gordon Ladd ""Gordi""•Eaton",Gordi•Eaton,"28 November 1939 in Littleton, New Hampshire (USA)",,United States,85387,178 cm / 83 kg,,,,,,,
1988 Winter Olympics,Male,"Christopher Scott ""Chris""•Hastings",Chris•Hastings,"17 August 1964 in Hanover, New Hampshire (USA)",,United States,86502,173 cm / 70 kg,,,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Male,"James H. ""Jim""•Holland",Jim•Holland,"4 July 1967 in Hanover, New Hampshire (USA)",,United States,86718,167 cm / 59 kg,,,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Male,"Joseph Johnston ""Joe""•Holland",Joe•Holland,"11 December 1964 in Hanover, New Hampshire (USA)",,United States,86719,167 cm / 60 kg,,,,,,,
1968 Winter Olympics; 1972 Winter Olympics,Male,Paul Emile•Lamey,Paul•Lamey,"24 December 1938 in Manchester, New Hampshire (USA)",15 December 2020,United States,89381,180 cm / 82 kg,"US Navy, (USA)",,,,,,
1956 Winter Olympics,Male,"Ralph English•Miller, Jr.","Ralph•Miller, Jr.","23 September 1933 in Hanover, New Hampshire (USA)","21 November 2021 in Lexington, Massachusetts (USA)",United States,95462,,,,,,,,
1976 Winter Olympics,Male,John Michael•Morton,John•Morton,"3 April 1946 in Keene, New Hampshire (USA)",,United States,95595,178 cm / 66 kg,,,,,,,
1980 Winter Olympics; 1984 Winter Olympics,Male,"Donald Morgan ""Don""•Nielsen, Jr.","Don•Nielsen, Jr.","18 October 1951 in New London, New Hampshire (USA)",,United States,95825,170 cm / 61 kg,,,,,,,
1988 Winter Olympics,Male,"Jonathan Douglas ""Jon""•Owen",Jon•Owen,"13 December 1963 in Berlin, New Hampshire (USA)",,United States,96120,,,,,,,,
1972 Winter Olympics,Male,Tyler Reuben•Palmer,Tyler•Palmer,"22 June 1950 in Kearsarge, New Hampshire (USA)",,United States,96158,178 cm / 68 kg,"Bear Valley Ski Club, Bear Valley, Alpine County, California (USA)",,,,,,
1932 Winter Olympics,Male,"Robert Harley•Reid, Sr.","Robert•Reid, Sr.","27 May 1898 in Berlin, New Hampshire (USA)",11 April 1990,United States,96771,,Nansen Ski Club,,,,,,
1948 Winter Olympics,Male,"Colin Campbell•Stewart, IV",Colin•Stewart,"21 February 1927 in Hanover, New Hampshire (USA)","6 March 2015 in Aurora, Colorado (USA)",United States,97844,176 cm / 68 kg,"Dartmouth Big Green, Hanover (USA)",,,,,,
1992 Winter Olympics; 1994 Winter Olympics; 1998 Winter Olympics,Male,"Timothy James ""Tim""•Tetreault",Tim•Tetreault,"14 March 1970 in Hanover, New Hampshire (USA)",,United States,98211,173 cm / 66 kg,"Ford Sayre, Hanover (USA)",,,,,,
1948 Winter Olympics,Male,"Ralph Joseph•Townsend, Jr.","Ralph•Townsend, Jr.","28 December 1921 in Lebanon, New Hampshire (USA)","27 May 1988 in Williamstown, Massachusetts (USA)",United States,98353,,"Williams College, Williamstown (USA)",,,,,,
