Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1992 Winter Olympics; 1994 Winter Olympics; 1998 Winter Olympics; 2002 Winter Olympics,Female,Ann E.•Battelle (-Ayad),Ann•Battelle,"18 January 1968 in Yonkers, New York (USA)",,United States,80600,175 cm / 73 kg,,,,,,,
1992 Winter Olympics,Female,Nancy Rebecca•Bell-Johnstone,Nancy•Bell-Johnstone,"22 October 1959 in New York, New York (USA)",,United States,80626,167 cm / 57 kg,,,,,,,
1984 Winter Olympics; 1988 Winter Olympics; 1992 Winter Olympics; 1994 Winter Olympics,Female,Bonnie Kathleen•Blair (-Cruikshank),Bonnie•Blair,"18 March 1964 in Cornwall-on-Hudson, New York (USA)",,United States,80673,165 cm / 59 kg,"Champaign-Urbana, Illinois",,,,,,
1980 Winter Olympics,Female,Donna Margaret•Burke,Donna•Burke,"16 August 1954 in New York, New York (USA)",,United States,80759,165 cm / 61 kg,,,,,,,
1968 Winter Olympics,Female,"Linda•Carbonetto (-Engel, -Villella)",Linda•Carbonetto,"12 April 1949 in New York, New York (USA)",,Canada,80789,159 cm / 49 kg,"Toronto Cricket Skating & Curling Club, Toronto (CAN)",,,,,,
1960 Winter Olympics,Female,Renie Katherine•Cox (-Gorsuch),Renie•Cox,"15 September 1938 in Lowville, New York (USA)",,United States,80884,,"Lake Placid Ski Club, Lake Placid (USA)",,,,,,
1992 Winter Olympics; 1998 Winter Olympics,Female,Moira Jean•D'Andrea (-Marshall),Moira•D'Andrea,"4 March 1968 in Saratoga Springs, New York (USA)",,United States,80901,162 cm / 59 kg,"Saratoga Winter Club, Saratoga Springs (USA)",,,,,,
1994 Winter Olympics; 1998 Winter Olympics; 2002 Winter Olympics,Female,Tracy•Evans (-Land),Tracy•Evans,"8 December 1967 in Hornell, New York (USA)",,United States,81039,160 cm / 55 kg,,,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Female,Nancy Ingersoll•Fiddler,Nancy•Fiddler,"21 February 1956 in Schenectady, New York (USA)",,United States,81057,170 cm / 57 kg,,,,,,,
1972 Winter Olympics,Female,"Margaret Ann ""Peggy""•Frair",Peggy•Frair,"26 July 1950 in New York, New York (USA)",,United States,81082,174 cm / 68 kg,,,,,,,
1960 Winter Olympics,Female,Cornelia Kelleher•Harrington,Cornelia•Harrington,"7 June 1943 in Tarrytown, New York (USA)",,United States,81253,157 cm,,,,,,,
1956 Winter Olympics; 1960 Winter Olympics,Female,Carol Elizabeth•Heiss (-Jenkins),Carol•Heiss,"20 January 1940 in New York, New York (USA)",,United States,81276,,"Skating Club of New York, New York (USA)",,,,,,
