Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1936 Winter Olympics,Female,"Helen•Boughton-Leigh (Bendelari-, -McAlpin)",Helen•Boughton-Leigh,"15 January 1906 in Cleveland, Ohio (USA)","28 December 1999 in Palm Springs, California (USA)",United States,80712,,American Alpine Club,,,,,,
1968 Winter Olympics,Female,"Jennifer Lee ""Jenny""•Fish (-Baker)",Jenny•Fish,"17 May 1949 in Strongsville, Ohio (USA)",,United States,81065,173 cm / 64 kg,Towne 'n Country Speed Skating Club,,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Female,Joan Elizabeth•Guetschow,Joan•Guetschow,"6 September 1966 in Akron, Ohio (USA)",,United States,81209,178 cm / 61 kg,,,,,,,
1992 Winter Olympics; 1994 Winter Olympics; 1998 Winter Olympics,Female,Jenni N.•Meno (-Sand),Jenni•Meno,"19 November 1970 in Westlake, Ohio (USA)",,United States,81811,152 cm / 44 kg,"Winterhurst FSC, Lakewood (USA)",,,,,,
1980 Winter Olympics,Female,Stacey Lee•Smith,Stacey•Smith,"3 April 1954 in Delaware, Ohio (USA)",,United States,82410,,"Skating Club of Wilmington, Wilmington (USA)",,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Female,Erica Winifred•Terwillegar,Erica•Terwillegar,"8 April 1963 in Nelsonville, Ohio (USA)",,United States,82849,178 cm / 68 kg,,,,,,,
1952 Winter Olympics,Female,Betty Ellen•Weir (-Bell),Betty•Weir,"20 June 1924 in Columbus, Ohio (USA)",6 March 2020,United States,83022,168 cm / 66 kg,"Sun Valley Ski Club, Sun Valley (USA)",,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Female,"Elizabeth Frazier ""Betsy""•Youngman",Betsy•Youngman,"4 August 1959 in Cleveland, Ohio (USA)",,United States,83094,162 cm / 58 kg,,,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Male,Nelson Graham•Carmichael,Nelson•Carmichael,"19 November 1965 in Columbus, Ohio (USA)",,United States,84615,178 cm / 79 kg,,,,,,,
1976 Winter Olympics; 1984 Winter Olympics,Male,William Benjamin•Fauver,William•Fauver,"2 March 1954 in Cleveland, Ohio (USA)",,United States,85645,175 cm / 68 kg,Cuyahoga Country Club,,,,,,
1988 Winter Olympics; 1992 Winter Olympics; 1994 Winter Olympics,Male,Kris•Feddersen,Kris•Feddersen,"30 October 1963 in Cincinnati, Ohio (USA)",,United States,85652,178 cm / 79 kg,,Fuzz,,,,,
1976 Winter Olympics; 1984 Winter Olympics,Male,Frederick William•Fritsch,Frederick•Fritsch,"10 October 1954 in Akron, Ohio (USA)",,United States,85861,178 cm / 91 kg,"US Navy, (USA)",,,,,,
1980 Winter Olympics; 1984 Winter Olympics,Male,Scott Scovell•Hamilton,Scott•Hamilton,"28 August 1958 in Toledo, Ohio (USA)",,United States,86412,160 cm / 50 kg,"Bowling Green Skating Club, Bowling Green (USA) / Philadelphia Skating Club, Ardmore (USA)",,,,,,
1956 Winter Olympics; 1960 Winter Olympics,Male,David Wilkinson•Jenkins,David•Jenkins,"29 June 1936 in Akron, Ohio (USA)",,United States,87517,,"Broadmoor Skating Club, Colorado Springs (USA)",,,,,,
1952 Winter Olympics; 1956 Winter Olympics,Male,Hayes Alan•Jenkins,Hayes•Jenkins,"23 March 1933 in Akron, Ohio (USA)",,United States,87518,,"Cleveland Skating Club, Shaker Heights, Ohio (USA) / Broadmoor Skating Club, Colorado Springs (USA)",,,,,,
1976 Winter Olympics,Male,"James G. ""Jim""•Millns, Jr.","Jim•Millns, Jr.","13 January 1949 in Toledo, Ohio (USA)",,United States,95464,,"Broadmoor Skating Club, Colorado Springs (USA)",,,,,,
1994 Winter Olympics,Male,Craig L.•Thrasher,Craig•Thrasher,"16 December 1970 in Chardon, Ohio (USA)",,United States,98258,180 cm / 91 kg,,,,,,,
1968 Winter Olympics,Male,"Douglas Steven ""Doug""•Volmar",Doug•Volmar,"9 January 1945 in Cleveland, Ohio (USA)","18 June 2017 in ?, Massachusetts (USA)",United States,98705,181 cm / 80 kg,"Michigan State Spartans, East Lansing (USA)",,,,,,
1992 Winter Olympics,Male,"Russel S. ""Russ""•Witherby",Russ•Witherby,"3 February 1962 in Cincinnati, Ohio (USA)",,United States,99004,180 cm / 68 kg,,,,,,,
1998 Winter Olympics,Male,Mariano O.•Ferrario,Mariano•Ferrario,"16 January 1974 in Chesterland, Ohio (USA)",,United States,99804,170 cm / 76 kg,,,,,,,
1998 Winter Olympics,Male,Scott Christopher•Koons,Scott•Koons,"11 April 1976 in Cleveland, Ohio (USA)",,United States,100258,178 cm / 77 kg,,,,,,,
2002 Winter Olympics,Male,Brian•Currutt,Brian•Currutt,"11 April 1974 in Cleveland, Ohio (USA)",,United States,101590,173 cm / 73 kg,,,,,,,
2002 Winter Olympics,Male,Ron•Biondo,Ron•Biondo,"10 August 1981 in Broadview Heights, Ohio (USA)",,United States,101776,175 cm / 68 kg,,,,,,,
2002 Winter Olympics,Male,Doug•Sharp,Doug•Sharp,"27 November 1969 in Marion, Ohio (USA)",,United States,101875,178 cm / 93 kg,,,,,,,
2002 Winter Olympics; 2014 Winter Olympics,Female,Ann E.•Swisshelm (-Silver),Ann•Swisshelm,"9 March 1968 in Middletown, Ohio (USA)",,United States,102033,175 cm / 72 kg,"Bemidji Curling Club, Bemidji (USA)",,,,,,
2006 Winter Olympics,Male,Aaron•Parchem,Aaron•Parchem,"6 June 1977 in Columbus, Ohio (USA)",,United States,109747,178 cm / 77 kg,"Detroit Skating Club, Bloomfield Hills (USA)",,,,,,
2006 Winter Olympics; 2010 Winter Olympics,Female,Gretchen•Bleiler,Gretchen•Bleiler,"10 April 1981 in Toledo, Ohio (USA)",,United States,109965,165 cm / 57 kg,"Aspen Valley Ski Club, Aspen (USA)",,,,,,
2006 Winter Olympics,Female,Kristin•King,Kristin•King,"21 July 1979 in Piqua, Ohio (USA)",,United States,110233,162 cm / 61 kg,"Dartmouth Big Green, Hanover (USA)",,,,,,
2006 Winter Olympics,Male,Brock•Kreitzburg,Brock•Kreitzburg,"16 February 1976 in Akron, Ohio (USA)",,United States,110988,183 cm / 98 kg,"Toledo Rockets, Toledo (USA)",,,,,,
2010 Winter Olympics,Male,Jamie•Moriarty,Jamie•Moriarty,"26 March 1981 in Cleveland, Ohio (USA)",,United States,118660,188 cm / 102 kg,Cornell University,,,,,,
2010 Winter Olympics; 2014 Winter Olympics,Female,Brianne Lea•McLaughlin,Brianne•McLaughlin,"20 June 1987 in Elyria, Ohio (USA)",,United States,119173,173 cm / 59 kg,"Robert Morris Colonials, Pittsburgh (USA) / Burlington Barracudas, Burlington (CAN)",,,,,,
