Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1984 Winter Olympics; 1988 Winter Olympics,Female,"Debra Rae ""Debbie""•Armstrong",Debbie•Armstrong,"6 December 1963 in Salem, Oregon (USA)",,United States,80552,165 cm / 62 kg,,,,,,,
1968 Winter Olympics,Female,"Christina ""Kiki""•Cutter (-Beattie)",Kiki•Cutter,"24 July 1949 in Bend, Oregon (USA)",,United States,80897,160 cm / 47 kg,Bend Skyliners,,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Female,"Tonya Maxine•Harding (-Gillooly, -Smith, -Price)",Tonya•Harding,"12 November 1970 in Portland, Oregon (USA)",,United States,81251,155 cm / 48 kg,Carousel Figure Skating Club/Portland Figure Skating Club,,,,,,
1964 Winter Olympics,Female,Jean Marlene•Saubert,Jean•Saubert,"1 May 1942 in Roseburg, Oregon (USA)","14 May 2007 in Bigfork, Montana (USA)",United States,82276,167 cm / 68 kg,"Mammoth Mountain Ski Club, Mammoth Lakes (USA)",,,,,,
1972 Winter Olympics; 1976 Winter Olympics; 1980 Winter Olympics,Male,"Michael Alan ""Mike""•Devecka",Mike•Devecka,"13 November 1947 in Portland, Oregon (USA)",,United States,85184,173 cm / 67 kg,Cascade Ski Club,,,,,,
1964 Winter Olympics; 1968 Winter Olympics,Male,"John Michael ""Mike""•Hessel",Mike•Hessel,"6 December 1942 in Portland, Oregon (USA)",,United States,86612,186 cm / 89 kg,Tri-Pass Ski Club,,,,,,
1972 Winter Olympics,Male,"Michael McCormack ""Mike""•Lafferty",Mike•Lafferty,"20 May 1948 in Eugene, Oregon (USA)",,United States,88809,183 cm / 73 kg,Bend Skyliners,,,,,,
1994 Winter Olympics; 2002 Winter Olympics; 2006 Winter Olympics,Male,Carl•Swenson,Carl•Swenson,"20 April 1970 in Corvallis, Oregon (USA)",,United States,98040,175 cm / 69 kg,The Factory Team/Dartmouth College,"Plucky, The Mangler",,,,,
1988 Winter Olympics,Male,Richard•Zander,Richard•Zander,"3 March 1964 in Portland, Oregon (USA)",,West Germany,99166,180 cm / 72 kg,"TuS Wiehl, Wiehl (GER)",,,,,,
1998 Winter Olympics,Female,Michele Renee•Taggart (-Melhuse),Michele•Taggart,"6 May 1970 in Salem, Oregon (USA)",,United States,99733,167 cm / 59 kg,,,,,,,
1998 Winter Olympics,Male,"Michael ""Mike""•Peplinski",Mike•Peplinski,"11 February 1974 in La Grande, Oregon (USA)",,United States,100349,188 cm / 84 kg,"Superior CC, Superior (USA)",Pep,,,,,
2002 Winter Olympics; 2006 Winter Olympics,Male,Lars•Flora,Lars•Flora,"6 January 1978 in Portland, Oregon (USA)",,United States,101032,180 cm / 73 kg,Subaru Factory Team/Alaska Pacific University,,,,,,
2002 Winter Olympics; 2006 Winter Olympics,Male,Joe•Pack,Joe•Pack,"10 April 1978 in Eugene, Oregon (USA)",,United States,101589,175 cm / 84 kg,University of Utah/Deer Valley Resort,,,,,,
2002 Winter Olympics,Female,Jill•Bakken (-Linder),Jill•Bakken,"25 January 1977 in Portland, Oregon (USA)",,United States,101653,167 cm / 65 kg,,,,,,,
2010 Winter Olympics,Female,Morgan•Arritola,Morgan•Arritola,"13 May 1986 in Bend, Oregon (USA)",,United States,118817,162 cm / 52 kg,"Sun Valley Ski Education Foundation, Ketchum, ID, United States / Westminster College",,,,,,
2014 Winter Olympics; 2022 Winter Olympics; 2026 Winter Olympics,Female,Jacqueline•Wiles,Jacqueline•Wiles,"13 July 1992 in Portland, Oregon (USA)",,United States,128670,170 cm / 70 kg,Westminster College,,,,,,
2018 Winter Olympics; 2022 Winter Olympics,Male,Asa Bisquera•Miller,Asa•Miller,"14 June 2000 in Portland, Oregon (USA)",,Philippines,137902,173 cm / 68 kg,"Meadows Race Team, Mt Hood (USA)",,,,,,
2018 Winter Olympics,Male,"Samuel ""Sam""•Michener",Sam•Michener,"24 May 1987 in Portland, Oregon (USA)",,United States,138263,175 cm / 94 kg,University of Idaho,,,,,,
2022 Winter Olympics,Male,Luke•Winters,Luke•Winters,"2 April 1997 in Gresham, Oregon (USA)",,United States,149067,,,,,,,,
2026 Winter Olympics,Male,Sean•FitzSimons,Sean•FitzSimons,"22 September 2000 in Hood River, Oregon (USA)",,United States,149154,,,,,,,,
2026 Winter Olympics,Male,Hunter•Hess,Hunter•Hess,"1 October 1998 in Bend, Oregon (USA)",,United States,157269,,,,,,,,
