Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1972 Winter Olympics; 1976 Winter Olympics,Female,Martha•Rockwell,Martha•Rockwell,"26 April 1944 in Providence, Rhode Island (USA)",,United States,82206,167 cm / 54 kg,"Putney Ski Club, Putney (USA)",,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Male,John Clark•Donatelli,Clark•Donatelli,"22 October 1965 in Providence, Rhode Island (USA)",,United States,85258,178 cm / 85 kg,"Boston University Terriers, Boston (USA) / San Diego Gulls, San Diego (USA)",,,,,,
1992 Winter Olympics,Male,David Anaclethe•Emma,David•Emma,"14 January 1969 in Cranston, Rhode Island (USA)",,United States,85493,175 cm / 79 kg,"Boston College Eagles, Chestnut Hill (USA)",,,,,,
1968 Winter Olympics,Male,"Robert René ""Bob""•Gaudreau, Sr.","Bob•Gaudreau, Sr.","8 March 1944 in Providence, Rhode Island (USA)",,United States,85979,186 cm / 82 kg,"Brown Bears, Providence (USA)",,,,,,
1984 Winter Olympics,Male,Paul Francois•Guay,Paul•Guay,"2 September 1963 in Woonsocket, Rhode Island (USA)",,United States,86277,183 cm / 88 kg,"Providence Friars, Providence (USA)",,,,,,
1952 Winter Olympics,Male,"Gerald Walsh ""Gerry""•Kilmartin",Gerry•Kilmartin,"7 July 1926 in Providence, Rhode Island (USA)","17 June 1970 in Providence, Rhode Island (USA)",United States,87933,,"Brown Bears, Providence (USA)",Killy,,,,,
1972 Winter Olympics,Male,"Thomas Robert ""Tom""•Mellor",Tom•Mellor,"27 January 1950 in Cranston, Rhode Island (USA)",,United States,95368,183 cm / 84 kg,"Boston College Eagles, Chestnut Hill (USA)",,,,,,
1960 Winter Olympics,Male,"Dudley Shaw ""Dud""•Richards",Dud•Richards,"4 February 1932 in Providence, Rhode Island (USA)","15 February 1961 in Berg-Kampenhout, Vlaams Brabant (BEL)",United States,96825,,"Skating Club of Boston, Boston (USA)",,,,,,
1988 Winter Olympics,Male,"Christopher Arnold ""Chris""•Terreri",Chris•Terreri,"15 November 1964 in Providence, Rhode Island (USA)",,United States,98205,175 cm / 70 kg,"New Jersey Devils, Newark (USA)",,,,,,
1994 Winter Olympics,Male,"Kenneth James ""Ken""•Topalian",Ken•Topalian,"5 July 1963 in Pawtucket, Rhode Island (USA)",,Armenia,98326,,"Armenian Youth Federation, (USA)",,,,,Կեննեթ•Թոփալյան,
1948 Winter Olympics,Male,Ralph Arthur•Warburton,Ralph•Warburton,"7 January 1924 in Cranston, Rhode Island (USA)",25 December 2021,United States,98821,173 cm / 73 kg,"Dartmouth Big Green, Hanover (USA)",,,,,,
1998 Winter Olympics; 2002 Winter Olympics,Female,Sara•DeCosta (-Hayes),Sara•DeCosta,"13 May 1977 in Warwick, Rhode Island (USA)",,United States,100458,178 cm / 59 kg,,,,,,,
1998 Winter Olympics,Male,Bryan Wallace•Berard,Bryan•Berard,"5 March 1977 in Woonsocket, Rhode Island (USA)",,United States,100713,185 cm / 86 kg,"New York Islanders, New York (USA)",,,,,,
1998 Winter Olympics,Male,Keith Edward•Carney,Keith•Carney,"3 February 1970 in Providence, Rhode Island (USA)",,United States,100722,188 cm / 93 kg,"Chicago Blackhawks, Chicago (USA)",,,,,,
2002 Winter Olympics; 2006 Winter Olympics; 2010 Winter Olympics; 2014 Winter Olympics; 2018 Winter Olympics,Female,Kelly•Clark,Kelly•Clark,"26 July 1983 in Newport, Rhode Island (USA)",,United States,101100,163 cm / 61 kg,Mount Snow Ski Club,,,,,,
2010 Winter Olympics; 2014 Winter Olympics; 2018 Winter Olympics,Female,Kacey Lee•Bellamy,Kacey•Bellamy,"22 April 1987 in Providence, Rhode Island (USA)",,United States,119253,170 cm / 66 kg,"New Hampshire Wildcats, Durham (USA) / Boston Blades, Boston (USA) / Boston Pride, Boston (USA)",Bells,,,,,
2014 Winter Olympics,Female,Annelies•Cook,Annelies•Cook,"1 August 1984 in Providence, Rhode Island (USA)",,United States,128675,168 cm / 56 kg,NYSEF (USA),,,,,,
2014 Winter Olympics,Female,Marissa•Castelli,Marissa•Castelli,"20 August 1990 in Providence, Rhode Island (USA)",,United States,128717,152 cm / 48 kg,"Skating Club of Boston, Boston (USA)",,,,,,
