Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1992 Winter Olympics,Female,Chus L.•Cortina,Chus•Cortina,"14 October 1974 in Travis, Texas (USA)",,Mexico,80879,,,,,,,,
1976 Winter Olympics,Female,Maura Jo•Haponski,Maura•Haponski,"27 August 1957 in Killeen, Texas (USA)",,United States,81249,168 cm / 51 kg,,,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Male,Steven Ryan•Heckman,Ryan•Heckman,"7 March 1974 in Houston, Texas (USA)",,United States,86537,178 cm / 65 kg,,Speck,,,,,
1956 Winter Olympics,Male,"Carlos Aneese ""Sully""•Kothmann",Sully•Kothmann,"26 February 1933 in San Antonio, Texas (USA)","5 May 1986 in Scottsdale, Arizona (USA)",United States,88559,,"US Army, (USA)",,,,,,
1988 Winter Olympics; 1998 Winter Olympics; 2002 Winter Olympics,Male,Brian Joseph•Leetch,Brian•Leetch,"3 March 1968 in Corpus Christi, Texas (USA)",,United States,89513,185 cm / 91 kg,"Boston College Eagles, Chestnut Hill (USA) / New York Rangers, New York (USA)",,,,,,
1988 Winter Olympics,Male,"Christopher Roland ""Chris""•Sharpless",Chris•Sharpless,"23 August 1945 in Bryan, Texas (USA)",,United States Virgin Islands,97469,,,,,,,,
1988 Winter Olympics; 1992 Winter Olympics,Male,Paul Stanton•Wylie,Paul•Wylie,"28 October 1964 in Dallas, Texas (USA)",,United States,99054,162 cm / 56 kg,,,,,,,
1998 Winter Olympics,Female,Chie•Sakuma,Chie•Sakuma,"1 March 1972 in Houston, Texas (USA)",,Japan,100422,158 cm / 63 kg,Iwakura,,,,,佐久間•千絵,
2002 Winter Olympics,Male,"Christopher David ""Chris""•Hoeger",Chris•Hoeger,"15 January 1985 in Odessa, Texas (USA)",,Venezuela,101268,173 cm / 61 kg,,,,,,,
2002 Winter Olympics; 2006 Winter Olympics,Male,Todd Dennys•Hays,Todd•Hays,"21 May 1969 in Del Rio, Texas (USA)",,United States,101872,190 cm / 107 kg,"Tulsa Golden Hurricane, Tulsa (USA)",,,,,,
2006 Winter Olympics; 2010 Winter Olympics,Male,Chad Paul•Hedrick,Chad•Hedrick,"17 April 1977 in Houston, Texas (USA)",,United States,109682,180 cm / 76 kg,,,,,,,
2006 Winter Olympics,Male,"John Martin•Baldwin, Jr.",John•Baldwin,"18 October 1973 in Dallas, Texas (USA)",,United States,109743,175 cm / 74 kg,"All Year FSC, Culver City (USA)",,,,,,
2006 Winter Olympics,Male,Kevin Ray•Ellis,Kevin•Ellis,"29 June 1973 in Killeen, Texas (USA)",,United States,110437,185 cm / 84 kg,"Stephen F. Austin Lumberjacks, Nacogdoches (USA)",,,,,,
2006 Winter Olympics,Male,Ryan Shea•O'Meara,Ryan•O'Meara,"5 January 1984 in Houston, Texas (USA)",,United States,110703,175 cm / 68 kg,Coyotes Skatingt Club of Arizona,,,,,,
2010 Winter Olympics; 2014 Winter Olympics; 2018 Winter Olympics,Male,Justin Bradley•Olsen,Justin•Olsen,"16 April 1987 in Lubbock, Texas (USA)",,United States,118671,188 cm / 104-107 kg,Air Force,,,,,,
2010 Winter Olympics; 2014 Winter Olympics; 2018 Winter Olympics,Male,Tucker•Murphy,Tucker•Murphy,"21 October 1981 in Dallas, Texas (USA)",,Bermuda,118858,193 cm / 81 kg,,,,,,,
2014 Winter Olympics; 2018 Winter Olympics,Female,Kaitlyn Elizabeth•Weaver,Kaitlyn•Weaver,"12 April 1989 in Houston, Texas (USA)",,Canada,127482,167 cm / 53 kg,"Sault FSC, Sault Sainte Marie (CAN)",,,,,,
2014 Winter Olympics; 2018 Winter Olympics,Male,Jonathan•Garcia,Jonathan•Garcia,"14 December 1986 in Houston, Texas (USA)",,United States,128782,170 cm / 64 kg,,,,,,,
2018 Winter Olympics,Female,Ngozi Whitney•Onwumere,Ngozi•Onwumere,"23 January 1992 in Mesquite, Texas (USA)",,Nigeria,137704,,,Betty,,,,,
2018 Winter Olympics,Male,"Samuel ""Sam""•McGuffie",Sam•McGuffie,"16 October 1989 in Houston, Texas (USA)",,United States,138262,180 cm / 95 kg,Rice University,,,,,,
2022 Winter Olympics,Female,Kellie Crystal•Delka,Kellie•Delka,"25 December 1987 in Bedford, Texas (USA)",,Puerto Rico,148753,,,,,,,,
2022 Winter Olympics,Female,Ashley Elizabeth•Cain-Gribble,Ashley•Cain-Gribble,"22 July 1995 in Dallas, Texas (USA)",,United States,149108,,,,,,,,
2026 Winter Olympics,Male,Boone•Niederhofer,Boone•Niederhofer,"23 September 1993 in Abilene, Texas (USA)",,United States,157255,191 cm / 96 kg,,,,,,,
2026 Winter Olympics,Female,Amber Elaine•Glenn,Amber•Glenn,"28 October 1999 in Plano, Texas (USA)",,United States,157223,,,,,,,,
2026 Winter Olympics,Female,Emily•Chan,Emily•Chan,"11 August 1997 in McKinney, Texas (USA)",,United States,157222,,,,,,,,
2026 Winter Olympics,Female,Hannah•Bilka,Hannah•Bilka,"24 March 2001 in Coppell, Texas (USA)",,United States,157227,165 cm,Seattle Torrent (USA),,,,,,
