Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1980 Winter Olympics,Female,"Elizabeth Grace ""Betsy""•Haines",Betsy•Haines,"5 November 1960 in Salt Lake City, Utah (USA)",,United States,81231,165 cm / 58 kg,,,,,,,
1994 Winter Olympics,Female,Shannon•Nobis (-Scherer),Shannon•Nobis,"20 March 1972 in Park City, Utah (USA)",,United States,81944,163 cm / 59 kg,,,,,,,
1948 Winter Olympics,Male,"Harold Devereaux ""Dev""•Jennings",Dev•Jennings,"28 June 1924 in Salt Lake City, Utah (USA)","14 April 2000 in Waterville Valley, New Hampshire (USA)",United States,87522,180 cm / 78 kg,"Aspen Ski Club, Aspen (USA)",,,,,,
1956 Winter Olympics; 1960 Winter Olympics,Male,Marvin Alton•Melville,Marvin•Melville,"15 February 1935 in Salt Lake City, Utah (USA)",,United States,95371,,,,,,,,
1956 Winter Olympics; 1960 Winter Olympics,Male,"Andrew Markley ""Mack""•Miller",Mack•Miller,"15 October 1931 in Salt Lake City, Utah (USA)","16 February 2020 in Boise, Idaho (USA)",United States,95456,,,,,,,,
1948 Winter Olympics,Male,"Richard David ""Dick""•Movitz",Dick•Movitz,"10 December 1925 in Salt Lake City, Utah (USA)","13 May 2010 in Salt Lake City, Utah (USA)",United States,95617,168 cm / 70 kg,"Alta Ski Club, Alta, Utah (USA)",,,,,,
1948 Winter Olympics; 1952 Winter Olympics,Male,Jack Nichols•Reddish,Jack•Reddish,"2 December 1926 in Salt Lake City, Utah (USA)","20 October 1992 in Salt Lake City, Utah (USA)",United States,96758,174 cm / 64 kg,"Sun Valley Ski Club, Sun Valley (USA)",,,,,,
1992 Winter Olympics; 1994 Winter Olympics,Male,Craig R.•Rodman,Craig•Rodman,"4 October 1972 in Salt Lake City, Utah (USA)",,United States,96909,183 cm / 82 kg,,,,,,,
1980 Winter Olympics,Male,Richard A.•Stithem,Richard•Stithem,"19 August 1953 in Panguitch, Utah (USA)",,United States,97859,180 cm / 75 kg,,,,,,,
1968 Winter Olympics,Male,Ralph C.•Wakley,Ralph•Wakley,"11 December 1941 in Logan, Utah (USA)",,United States,98775,191 cm / 82 kg,"US Army, (USA)",,,,,,
1998 Winter Olympics,Male,Charles•Butler,Charles•Butler,"4 April 1979 in Salt Lake City, Utah (USA)",,United States,100180,175 cm / 68 kg,,,,,,,
2002 Winter Olympics; 2006 Winter Olympics,Female,Wendy Kay•Wagner,Wendy•Wagner,"31 October 1973 in Salt Lake City, Utah (USA)",,United States,101307,162 cm / 63 kg,Gold 220-APU/Western State College of Colorado,,,,,,
2002 Winter Olympics; 2006 Winter Olympics; 2010 Winter Olympics; 2014 Winter Olympics; 2018 Winter Olympics,Female,Kikkan Lewis•Randall (-Ellis),Kikkan•Randall,"31 December 1982 in Salt Lake City, Utah (USA)",,United States,101453,165 cm / 60 kg,Alaska Pacific University Nordic Ski Club,Kikkanimal,,,,,
2002 Winter Olympics,Female,Gea•Johnson,Gea•Johnson,"18 September 1967 in Monticello, Utah (USA)",,United States,101661,170 cm / 73 kg,,,,,,,
2002 Winter Olympics; 2006 Winter Olympics; 2010 Winter Olympics,Male,Bill•Schuffenhauer,Bill•Schuffenhauer,"24 June 1973 in Salt Lake City, Utah (USA)",,United States,101873,183 cm / 100 kg,Weber State University,,,,,,
2006 Winter Olympics; 2010 Winter Olympics,Male,Brett•Camerota,Brett•Camerota,"9 January 1985 in Salt Lake City, Utah (USA)",,United States,109600,167 cm / 59 kg,National Sports Foundation / Park City Nordic Ski Club / Salt Lake Community College,,,,,,
2006 Winter Olympics; 2010 Winter Olympics; 2014 Winter Olympics,Male,"Steven Kent ""Steve""•Nyman",Steve•Nyman,"12 February 1982 in Provo, Utah (USA)",,United States,109894,193 cm / 100 kg,"Park City Ski Team, Park City (USA)",,,,,,
2006 Winter Olympics; 2010 Winter Olympics; 2014 Winter Olympics; 2018 Winter Olympics,Male,"Theodore Sharp ""Ted""•Ligety",Ted•Ligety,"31 August 1984 in Salt Lake City, Utah (USA)",,United States,110095,180 cm / 86 kg,"Park City Ski Team, Park City (USA)","Ted Shred, Ligety-Split",,,,,
2006 Winter Olympics; 2014 Winter Olympics,Male,Preston•Griffall,Preston•Griffall,"6 June 1984 in Salt Lake City, Utah (USA)",,United States,110296,178 cm / 70 kg,,,,,,,
2006 Winter Olympics; 2010 Winter Olympics; 2014 Winter Olympics,Male,"Steven ""Steve""•Holcomb",Steve•Holcomb,"14 April 1980 in Park City, Utah (USA)","6 May 2017 in Lake Placid, New York (USA)",United States,110656,178 cm / 104 kg,"Utah Utes, Salt Lake City (USA)",,,,,,
2006 Winter Olympics; 2010 Winter Olympics,Female,Shauna L.•Rohbock,Shauna•Rohbock,"4 April 1977 in Provo, Utah (USA)",,United States,110779,173 cm / 75 kg,"BYU Cougars, Provo (USA)",,,,,,
2006 Winter Olympics,Male,Eric John•Camerota,Eric•Camerota,"9 January 1985 in Salt Lake City, Utah (USA)",,United States,110873,167 cm / 59 kg,Salt Lake Community College,,,,,,
2010 Winter Olympics; 2014 Winter Olympics; 2018 Winter Olympics,Female,Megan Jean•McJames,Megan•McJames,"24 September 1987 in Park City, Utah (USA)",,United States,118432,168 cm / 57 kg,Park City Ski Education Foundation / Westminster College,,,,,,
2010 Winter Olympics,Female,Lacy•Schnoor,Lacy•Schnoor,"12 June 1985 in Salt Lake City, Utah (USA)",,United States,118990,157 cm / 52 kg,"Westminster College Griffins, Salt Lake City (USA)",,,,,,
2010 Winter Olympics,Male,"Nathan ""Nate""•Roberts",Nate•Roberts,"24 March 1982 in Ogden, Utah (USA)",,United States,119004,178 cm / 75 kg,Park City Freestyle Club,,,,,,
2010 Winter Olympics; 2014 Winter Olympics,Female,Noelle•Pikus-Pace,Noelle•Pikus-Pace,"8 December 1982 in Provo, Utah (USA)",,United States,119507,178 cm / 73 kg,Utah Valley,,,,,,
