Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1952 Winter Olympics,Female,"Jannette Weston•Burr (-Bray, -Johnson)",Jannette•Burr,"30 April 1927 in Seattle, Washington (USA)",26 July 2022,United States,80764,172 cm / 60 kg,"Sun Valley Ski Club, Sun Valley (USA)",,,,,,
1972 Winter Olympics,Female,"Susan Ada ""Susie""•Corrock (-Zoberski, -Luby)",Susie•Corrock,"30 November 1951 in Seattle, Washington (USA)",,United States,80878,163 cm / 55 kg,"Sun Valley Ski Club, Sun Valley (USA)",,,,,,
1976 Winter Olympics; 1980 Winter Olympics,Female,Susanna•Driano,Susanna•Driano,"28 May 1957 in Seattle, Washington (USA)",,Italy,80971,165 cm / 55 kg,Associazione Sportivi Ghiaccio Ambrosiana,,,,,,
1964 Winter Olympics,Female,"Judianne ""Judi""•Fotheringill (-Fuller)",Judi•Fotheringill,"21 July 1944 in Chehalis, Washington (USA)",,United States,81080,170 cm / 57 kg,"Broadmoor Skating Club, Colorado Springs (USA)",,,,,,
1948 Winter Olympics,Female,Gretchen Claudia•Fraser (Kunigk-),Gretchen•Fraser,"11 February 1919 in Tacoma, Washington (USA)","17 February 1994 in Sun Valley, Idaho (USA)",United States,81086,163 cm / 53 kg,"Sun Valley Ski Club, Sun Valley (USA)",,,,,,
1960 Winter Olympics,Female,Ila Ray•Hadley,Ila Ray•Hadley,"18 September 1942 in Renton, Washington (USA)","15 February 1961 in Berg-Kampenhout, Vlaams Brabant (BEL)",United States,81227,,"Seattle Skating Club, Mountlake Terrace (USA)",,,,,,
1964 Winter Olympics; 1968 Winter Olympics,Female,"Cynthia Diane ""Cindy""•Kauffman (-Marshall)",Cindy•Kauffman,"23 August 1948 in Seattle, Washington (USA)",,United States,81458,160 cm / 49 kg,Franklin High School/Murray-Griffin Business College/Seattle Skating Club,,,,,,
1948 Winter Olympics; 1952 Winter Olympics,Female,Karol Estelle•Kennedy (-Kucher),Karol•Kennedy,"14 February 1932 in Shelton, Washington (USA)","25 June 2004 in Seattle, Washington (USA)",United States,81467,,"Seattle Skating Club, Mountlake Terrace (USA) / Broadmoor Skating Club, Colorado Springs (USA)",,,,,,
1968 Winter Olympics,Female,Judy Ann•Nagel,Judy•Nagel,"27 August 1951 in Seattle, Washington (USA)",,United States,81905,163 cm / 56 kg,Crystal Mountain Alpine Club,,,,,,
1956 Winter Olympics,Female,"Dorothy Louise•Surgenor (Lynch-, Modenese-, -Ronning)",Dorothy•Surgenor,"5 November 1931 in Seattle, Washington (USA)",,United States,82499,,Penguins,,,,,,
1964 Winter Olympics,Female,Sylvia Josephine•White (-Blaine),Sylvia•White,"29 March 1943 in Seattle, Washington (USA)",,United States,83037,162 cm / 59 kg,Montana Skating Club,,,,,,
1994 Winter Olympics; 1998 Winter Olympics; 2002 Winter Olympics; 2006 Winter Olympics,Male,KC•Boutiette,KC•Boutiette,"11 April 1970 in Lakewood, Washington (USA)",,United States,84294,180 cm / 70 kg,Tacoma,,,,,,
1972 Winter Olympics,Male,"William Jay•Bowerman, Jr.",Jay•Bowerman,"17 December 1942 in Seattle, Washington (USA)",,United States,84304,178 cm / 69 kg,,,,,,,
1928 Winter Olympics,Male,"Thomas Bartwell ""Tom""•Doe, Jr.",Tom•Doe,"13 October 1912 in Tacoma, Washington (USA)","19 July 1969 in Hendersonville, North Carolina (USA)",United States,85240,,,,,,,,
