Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1960 Winter Olympics,Female,Beverly Marie•Anderson (-Brockway),Beverly•Anderson,"2 June 1938 in Ladysmith, Wisconsin (USA)",,United States,80532,,"WAC, Seattle (USA)",,,,,,
1972 Winter Olympics,Female,"Helen Constance ""Connie""•Carpenter-Phinney",Connie•Carpenter-Phinney,"26 February 1957 in Madison, Wisconsin (USA)",,United States,80794,178 cm / 59 kg,"California Golden Bears, Berkeley (USA)",,,,,,
1988 Winter Olympics; 1992 Winter Olympics; 1994 Winter Olympics,Female,Dorcas Elizabeth•DenHartog-Wonsavage,Dorcas•DenHartog-Wonsavage,"3 February 1965 in Madison, Wisconsin (USA)",,United States,80940,162 cm / 54 kg,"Ford Sayre, Hanover (USA)",,,,,,
1980 Winter Olympics; 1984 Winter Olympics; 1988 Winter Olympics; 1992 Winter Olympics,Female,Mary Angela•Docter,Mary•Docter,"11 February 1961 in Madison, Wisconsin (USA)",,United States,80956,167 cm / 63 kg,"Madison Speed Skating Club, Madison (USA)",,,,,,
1980 Winter Olympics,Female,Sarah Beth•Docter (-Williams),Sarah•Docter,"10 May 1964 in Madison, Wisconsin (USA)",,United States,80957,167 cm / 57 kg,"Madison Speed Skating Club, Madison (USA)",,,,,,
1976 Winter Olympics; 1980 Winter Olympics,Female,"Elizabeth Lee ""Beth""•Heiden (-Reid)",Beth•Heiden,"27 September 1959 in Madison, Wisconsin (USA)",,United States,81274,157 cm / 48 kg,"Madison Speed Skating Club, Madison (USA)",,,,,,
1972 Winter Olympics,Female,"Kathryn Ann ""Kay""•Lunda (-Vandevrede)",Kay•Lunda,"28 April 1957 in Madison, Wisconsin (USA)",,United States,81717,167 cm / 58 kg,"Madison Speed Skating Club, Madison (USA)",,,,,,
1976 Winter Olympics,Female,Lori Jeanne•Monk (-Goff),Lori•Monk,"20 March 1956 in Madison, Wisconsin (USA)",,United States,81864,175 cm / 66 kg,"Madison Speed Skating Club, Madison (USA)",,,,,,
1994 Winter Olympics,Female,"Christine ""Chris""•Scheels",Chris•Scheels,"7 February 1977 in West Allis, Wisconsin (USA)",,United States,82282,160 cm / 54 kg,"WASSC, West Allis (USA)",,,,,,
1994 Winter Olympics; 1998 Winter Olympics; 2002 Winter Olympics; 2006 Winter Olympics,Female,"Christine Diane ""Chris""•Witty",Chris•Witty,"23 June 1975 in West Allis, Wisconsin (USA)",,United States,83054,167 cm / 66 kg,"WASSC, West Allis (USA)",,,,,,
1968 Winter Olympics,Male,"William Helmer ""Bill""•Bakke",Bill•Bakke,"20 November 1946 in Menomonie, Wisconsin (USA)",,United States,83806,178 cm / 75 kg,Blackhawk Ski Club,,,,,,
1924 Winter Olympics; 1932 Winter Olympics,Male,La Moine (Lemoine) Henry•Batson,La Moine•Batson,"6 August 1898 in Eau Claire, Wisconsin (USA)","30 January 1991 in Hinsdale, Illinois (USA)",United States,83893,168 cm,,,,,,,
1984 Winter Olympics,Male,Marc James•Behrend,Marc•Behrend,"11 January 1961 in Madison, Wisconsin (USA)",,United States,83965,185 cm / 84 kg,"Wisconsin Badgers, Madison (USA)",,,,,,
