Games,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
1992 Winter Olympics,Female,Darcie Jean•Dohnal (-Sharapova),Darcie•Dohnal,28 June 1972,,United States,80959,165 cm / 64 kg,,,,,,,
1968 Winter Olympics,Female,Rosie Pamela•Fortna (Anello-),Rosie•Fortna,"18 December 1946 in Filadelfia, Vibo Valentia (ITA)",,United States,81078,153 cm / 48 kg,"Mammoth Mountain Ski Club, Mammoth Lakes (USA)",,,,,,
1976 Winter Olympics,Female,Jana•Hlavaty (Ledvinkova-),Jana•Hlavaty,"25 August 1941 in Praha (Prague), Hlavní město Praha (CZE)",,United States,81299,,,,,,,,
1994 Winter Olympics; 1998 Winter Olympics; 2002 Winter Olympics,Female,Kyoko•Ina,Kyoko•Ina,"11 October 1972 in Tokyo, Tokyo (JPN)",,United States,81361,152 cm / 42 kg,"Skating Club of New York, New York (USA)",,,,,,
1992 Winter Olympics; 1994 Winter Olympics; 2006 Winter Olympics,Female,Rena•Inoue,Rena•Inoue,"17 October 1976 in Nishinomiya, Hyogo (JPN)",,Japan United States,81365,150 cm / 42 kg,"Shin-Matsudominami-High/Waseda University, Tokyo (JPN)/All Year Figure Skating Club, Culver City, California",,,井上怜奈,,,
1988 Winter Olympics; 1992 Winter Olympics,Female,Seba•Johnson,Seba•Johnson,"1 May 1973 in Frederiksted, St. Croix (ISV)",,United States Virgin Islands,81418,,,,,,,,
1948 Winter Olympics,Female,Paula•Kann (-Valar),Paula•Kann,"1 February 1922 in Wien (Vienna), Wien (AUT)","2 November 2001 in Franconia, New Hampshire (USA)",United States,81441,165 cm / 63 kg,"Eastern Slope Ski Club, North Conway (USA)",,,,,,
1932 Winter Olympics,Female,Gertrude Helen•Meredith,Gertrude•Meredith,"28 May 1892 in Yorkton, Saskatchewan (CAN)","24 February 1986 in New York, New York (USA)",United States,81812,,,,,,,,
1952 Winter Olympics,Female,Imogene Anna•Opton (-Fish),Imogene•Opton,"25 April 1932 in Berlin, Berlin (GER)",,United States,81990,172 cm / 63 kg,"Eastern Slope Ski Club, North Conway (USA)",,,,,,
1992 Winter Olympics; 1994 Winter Olympics; 1998 Winter Olympics,Female,Julie Madelein Josephine•Parisien,Julie•Parisien,"2 August 1971 in Montréal, Québec (CAN)",,United States,82030,173 cm / 68 kg,Lost Valley Race Club,,,,,,
1932 Winter Olympics,Male,Erling Norman•Andersen,Erling•Andersen,"7 March 1905 in Oslo, Oslo (NOR)","11 September 1993 in Berlin, New Hampshire (USA)",United States,83594,,Nansen Club,,,,,,
1932 Winter Olympics,Male,"Osborne ""Ty""•Anderson",Ty•Anderson,"15 October 1908 in Fredrikstad, Viken (NOR)","31 January 1989 in Lynn, Massachusetts (USA)",United States,83605,175 cm / 77 kg,,,,Asbjørn Andersen,,,
1932 Winter Olympics; 1936 Winter Olympics,Male,Nils•Backstrom,Nils•Backstrom,"13 June 1901 in Ludvika, Dalarna (SWE)","18 June 1978 in Cleveland, Ohio (USA)",United States,83785,,Norfolk Winter Sports Club,,,,,,
1988 Winter Olympics,Male,"Joseph James ""Joe""•Barile",Joe•Barile,6 May 1959,,United States,83850,,,,,,,,
1960 Winter Olympics; 1964 Winter Olympics,Male,Karl Anders•Bohlin,Karl•Bohlin,"20 December 1938 in Mora, Dalarna (SWE)",,United States,84223,183 cm / 77 kg,Minneapolis Ski Club,,,,,,
1992 Winter Olympics,Male,Daniel•Burgner,Daniel•Burgner,10 December 1954,,United States Virgin Islands,84479,,,,,,,,
1992 Winter Olympics,Male,John•Campbell,John•Campbell,2 November 1962,,United States Virgin Islands,84574,,,,,,,,
1968 Winter Olympics,Male,"Jonathan Knowlton ""Jon""•Chaffee",Jon•Chaffee,"22 August 1944 in Washington, District of Columbia (USA)",,United States,84686,183 cm / 68 kg,"US Army, (USA)",,,,,,
1972 Winter Olympics,Male,James John•Copley,James•Copley,18 October 1951,,United States,84858,,,,,,,,
1956 Winter Olympics; 1960 Winter Olympics,Male,"Thomas Armstrong ""Tom""•Corcoran",Tom•Corcoran,"16 November 1931 in Yokohama, Kanagawa (JPN)","27 June 2017 in Seabrook Island, South Carolina (USA)",United States,84861,,"Mount Mansfield Ski Club, Stowe (USA)",,,,,,
1992 Winter Olympics,Male,Reggie W.•Crist,Reggie•Crist,"12 July 1968 in ?, Okinawa (JPN)",,United States,84906,180 cm / 79 kg,,White Monkey,,,,,
1956 Winter Olympics,Male,"Richard Leo ""Dick""•Dougherty",Dick•Dougherty,"5 August 1932 in Fort Frances, Ontario (CAN)","23 November 2016 in Green Bay, Wisconsin (USA)",United States,85278,175 cm / 84 kg,"Minnesota Golden Gophers, Saint Paul (USA)",,,,,,
